,dropout_rate,Gauss_noise,n_nodes,activations,n_epochs,n_layers,batch_size,accuracy,precision,recall,f1
0,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",250,1,32,0.801581418,0.571332092,0.18299874,0.276345657
1,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",250,1,64,0.801581547,0.583882268,0.156957,0.246992088
2,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",250,1,128,0.799311788,0.566113664,0.147864214,0.234323641
3,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",250,2,32,0.795475412,0.515988944,0.36088451,0.421940521
4,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",250,2,64,0.802755402,0.55056849,0.261092777,0.353545917
5,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",250,2,128,0.800485607,0.550462389,0.220893964,0.31260274
6,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,1,32,0.80181616,0.56139565,0.216259182,0.31134935
7,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,1,64,0.802442505,0.567492525,0.20799381,0.303287763
8,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,1,128,0.804164349,0.591276392,0.18695459,0.283869134
9,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,2,32,0.775361971,0.465487566,0.437482286,0.440748484
10,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,2,64,0.788978721,0.492568149,0.402425954,0.441835191
11,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,2,128,0.793832477,0.508041603,0.299963705,0.375798578
