,n_nodes,batch_size,activations,n_epochs,n_layers,dropout_rate,Gauss_noise,accuracy,precision,recall,f1
0,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,1,0.1,0.5,0.799076771,0.544079742,0.217377328,0.308931284
1,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,1,0.1,1.2,0.796807251,0.546714421,0.139732477,0.221710209
2,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,1,0.3,0.5,0.800642322,0.590533776,0.136687986,0.221282389
3,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,1,0.3,1.2,0.796806994,0.590679784,0.07691701,0.135756116
4,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,2,0.1,0.5,0.796649985,0.519721987,0.292683544,0.374106035
5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,2,0.1,1.2,0.798842121,0.532179501,0.269406163,0.357265566
6,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,2,0.3,0.5,0.790154029,0.518975652,0.26862123,0.338531341
7,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,2,0.3,1.2,0.791014418,0.498008769,0.192987845,0.276499755
8,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,1,0.1,0.5,0.799859151,0.537205127,0.265688667,0.354958348
9,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,1,0.1,1.2,0.799468172,0.545953449,0.207786439,0.300821246
10,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,1,0.3,0.5,0.801816399,0.582311676,0.166610244,0.258171635
11,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,1,0.3,1.2,0.799155036,0.578391423,0.128019643,0.208889862
12,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,2,0.1,0.5,0.803146381,0.544503826,0.320085834,0.403094791
13,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,2,0.1,1.2,0.795867677,0.512733343,0.332547085,0.402689096
14,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,2,0.3,0.5,0.783579164,0.477998946,0.371344978,0.414887687
15,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,2,0.3,1.2,0.795006314,0.512882987,0.283092658,0.364297319
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
